你 ,nǐ,You (singular)
好 ,hǎo,Good; fine; nice
您 ,nín,You (polite singular)
零 ,líng,Zero
一 ,yī,One
二 ,èr,Two
五 ,wǔ,Five
八 ,bā,Eight
Teacher,老师 ,lǎo shī
你们 ,nǐmen,You (plural)
早上 ,zǎoshang,Morning; early morning
是 ,shì,be
哪 ,nǎ,Which; what
国 ,guó,Country; state; nation
人 ,rén,People; human being
我 ,wǒ,I; me
呢 ,ne,Used at the end of an interrogative sentence (What about...?; And...?)
他 ,tā,he; him
三 ,sān,three
四 ,sì,four
十 ,shí,ten
请问 ,qǐngwèn,Excuse me; may I ask
请 ,qǐng,Please
问 ,wèn,Ask
叫 ,jiào,Call; name
什么 ,shénme,What
名字 ,míngzi,Name; given or personal name
姓 ,xìng,Be surnamed
认识 ,rènshi,Know; recognize
很 ,hěn,Very; very much
高兴 ,gāo xìng,Glad; happy
也 ,yě,Also; too; as well
贵姓 ,guìxìng,Your (honourable) surname
六 ,liù,Six
七 ,qī,Seven
九 ,jiǔ,Nine
留学生 - liúxuéshēng,Student studying abroad
她 ,tā,She; her
学习 ,xuéxí,Learn; study
他们 ,tāmen,They; them
们 ,men,Used to form a plural number when added to a personal pronoun or a noun
一起 ,yīqǐ,Together
上课 ,shàngkè,Attend class; go to class; have class
说 ,shuō,Speak; say; talk
法国 ,Fǎguó,France
汉语 ,Hànyǔ,Chinese (language)
泰国 ,Tàiguó,Thailand
中国 ,Zhōngguó,China
吗 ,ma,Used at the end of a (yes/no) question
不 ,bù,Not; no
英语 ,Yīngyǔ,English (language)
法语 ,Fǎyǔ,French (language)
谁 ,shéi (shuí),Who;whom
同学 ,tóngxué,Fellow student; schoolmate; classmate
日语 ,Rìyǔ,Japanese language
韩语 ,Hányǔ,Korean language;
德语 ,Déyǔ,German (language)
意大利语 ,Yìdàlìyǔ,Italian (language)
西班牙语 ,Xībānyáyǔ,Spanish language
家 ,jiā,Family; home
有 ,yǒu,Have; possess; there be
口 ,kǒu,A measure word (family members)
爸爸 ,bàba,Father; dad
妈妈 ,māma,Mother; mom
哥哥 ,gēge,Older brother
和 ,hé,And
职员 ,zhíyuán,Office worker; staff member
都 ,dōu,All; both
大学生 ,dàxuéshēng,College or university student
几 ,jǐ,How many
做 ,zuò,Do; engage in
工作 ,gōngzuò,Job; work; task
律师 ,lǜshī,Lawyer; attorney
医生 ,yīshēng,Doctor; medical practitioner
你们 ,nǐmen,You (plural)
班 ,bān,Team;;class; group
多少 ,duōshao,How much;;how many
个 ,gè,Used before nouns without a special classifier of their own
学生 ,xuésheng,Student
我们 ,wǒmen,We;;us
两 ,liǎng,Two
姐姐 ,jiějie,Older sister
妹妹 ,mèimei,Younger sister
弟弟 ,dìdi,Younger brother
工人 ,gōngrén,Worker; labourer
农民 ,nóngmín,Peasant;;farmer
护士 ,hùshi,Nurse
警察 ,jǐngchá,Police;;police officer
想 ,xiǎng,Want to; would like to; be going to
买 ,mǎi,Buy; purchase
电子词典 ,diànzǐ;cídiǎn,Electronic dictionary
电子 ,diànzǐ,Electronic
词典 ,cídiǎn,Dictionary
