You (Singular)	<div>你 -&nbsp;nǐ</div>
<div>你 -&nbsp;nǐ</div>	You (singular)
Good, fine, nice	<div>好 -&nbsp;hǎo</div>
<div>好 -&nbsp;hǎo</div>	Good, fine, nice
You (polite singular)	<div>您 -&nbsp;nín</div>
<div>您 -&nbsp;nín</div>	You (polite singular)
Zero	<div>零 -&nbsp;líng</div>
<div>零 -&nbsp;líng</div>	Zero
One	<div>一 -&nbsp;yī</div>
<div>一 -&nbsp;yī</div>	One
Two	<div>二 -&nbsp;èr</div>
<div>二 -&nbsp;èr</div>	Two
Five	<div>五 -&nbsp;wǔ</div>
<div>五 -&nbsp;wǔ</div>	Five
<div>Eight</div>	<div>八 -&nbsp;bā</div>
<div>八 -&nbsp;bā</div>	Eight
You (Plural)	<div>你们 -&nbsp;nǐmen</div>
Teacher	<div>老师 -&nbsp;lǎo shī</div>
<div>老师 -&nbsp;lǎo shī</div>	Teacher
<div>你们 -&nbsp;nǐmen</div>	You (plural)
Morning, early morning	<div>早上 -&nbsp;zǎoshang</div>
<div>早上 -&nbsp;zǎoshang</div>	Morning, early morning
be	<div>是 -&nbsp;shì</div>
<div>是 -&nbsp;shì</div>	be
Which, what	<div>哪 -&nbsp;nǎ</div>
<div>哪 -&nbsp;nǎ</div>	Which, what
Country, state, nation	<div>国 -&nbsp;guó</div>
<div>国 -&nbsp;guó</div>	Country, state, nation
People, human being	<div>人 -&nbsp;rén</div>
<div>人 -&nbsp;rén</div>	People, human being
I, me	<div>我 -&nbsp;wǒ</div>
<div>我 -&nbsp;wǒ</div>	I, me
Used at the end of an interrogative sentence (What about...?, And...?)	<div>呢 -&nbsp;ne</div>
<div>呢 -&nbsp;ne</div>	Used at the end of an interrogative sentence (What about...?, And...?)
he, him	<div>他 -&nbsp;tā</div>
<div>他 -&nbsp;tā</div>	he, him
three	<div>三 -&nbsp;sān</div>
<div>三 -&nbsp;sān</div>	three
four	<div>四 -&nbsp;sì</div>
<div>四 -&nbsp;sì</div>	four
ten	<div>十 -&nbsp;shí</div>
<div>十 -&nbsp;shí</div>	ten
Excuse me, may I ask	<div>请问 -&nbsp;qǐngwèn</div>
<div>请问 -&nbsp;qǐngwèn</div>	Excuse me, may I ask
Please	<div>请 -&nbsp;qǐng</div>
<div>请 -&nbsp;qǐng</div>	Please
Ask	<div>问 -&nbsp;wèn</div>
<div>问 -&nbsp;wèn</div>	Ask
Call, name	<div>叫 -&nbsp;jiào</div>
<div>叫 -&nbsp;jiào</div>	Call, name
What	<div>什么 -&nbsp;shénme</div>
什么 -&nbsp;shénme	What
Name, given or personal name	<div>名字 -&nbsp;míngzi</div>
名字 -&nbsp;míngzi	Name, given or personal name
Be surnamed	<div>姓 -&nbsp;xìng</div>
<div>姓 -&nbsp;xìng</div>	Be surnamed
Know, recognize	<div>认识 -&nbsp;rènshi</div>
认识 -&nbsp;rènshi	Know, recognize
Very, very much	<div>很 -&nbsp;hěn</div>
很 -&nbsp;hěn	Very, very much
Glad, happy	高兴 -&nbsp;gāoxìng
高兴 -&nbsp;gāo xìng	Glad, happy
Also, too, as well	<div>也 -&nbsp;yě</div>
<div>也 -&nbsp;yě</div>	Also, too, as well
Your (honourable) surname	<div>贵姓 -&nbsp;guìxìng</div>
贵姓 -&nbsp;guìxìng	Your (honourable) surname
Six	<div>六 -&nbsp;liù</div>
